"COMPANY_ID","YYYYMM","PERIODENDQTY"
1,"202511",576687.48
2,"202511",769083.23
1,"202510",689164.4
2,"202510",855235.87
1,"202509",587962.87
2,"202509",898671.97
1,"202508",609084.76
2,"202508",936444.89
1,"202507",649313.93
2,"202507",1038598.51
1,"202506",769638.52
2,"202506",990477.7
1,"202505",840361.33
2,"202505",1070595.81
1,"202504",745012.89
2,"202504",1018239.67
1,"202503",752570.7
2,"202503",1074113.02
1,"202502",831548.57
2,"202502",1090977.21
1,"202501",884428.26
2,"202501",1257221.29
1,"202412",1012815.91
2,"202412",1400578.91
1,"202411",1077732.39
2,"202411",1448212.73
1,"202410",1056147.24
2,"202410",1482599.04
1,"202409",1019763.71
2,"202409",1496650.21
1,"202408",965627.5
2,"202408",1490246.5
1,"202407",929766.58
2,"202407",1492537.14
1,"202406",948315.68
2,"202406",1466433.97
1,"202405",888516.56
2,"202405",1443633.66
1,"202404",842338.26
2,"202404",1332976.12
1,"202403",802351.26
2,"202403",1421659.14
1,"202402",816179.86
2,"202402",1308810.81
1,"202401",926670.7
2,"202401",1361590.71
1,"202312",991289.08
2,"202312",1399537.47
1,"202311",1051082.84
2,"202311",1532651.49
1,"202310",1102232.11
2,"202310",1550401.4
1,"202309",1055378.94
2,"202309",1497900.12
1,"202308",998422.95
2,"202308",1340688.54
1,"202307",925793.41
2,"202307",1228491.06
1,"202306",860872.61
2,"202306",1118070.23
1,"202305",832161.01
2,"202305",1106920.12
1,"202304",735777.53
2,"202304",896273.66
1,"202303",595162.27
2,"202303",819921.11
1,"202302",490562.06
2,"202302",761325.04
1,"202301",338874.79
2,"202301",600052.685
1,"202212",296141.09
2,"202212",607471.305
1,"202211",355991.39
2,"202211",522570.155
1,"202210",337744.96
2,"202210",507755.125
1,"202209",308183.19
2,"202209",404912.155
1,"202208",238774.87
2,"202208",335165.385
1,"202207",296391.37
2,"202207",266485.475
1,"202206",265018.93
2,"202206",279145.99
1,"202205",290884.94
2,"202205",391215.62
1,"202204",233754.8
2,"202204",404000.54
1,"202203",219552.09
2,"202203",361341.455
1,"202202",166435.22
2,"202202",310043.84
1,"202201",313711.56
2,"202201",257069.17
1,"202112",374241.95
2,"202112",339734.44
1,"202111",338323.1
2,"202111",355744.35
1,"202110",206636.74
2,"202110",313482.34
1,"202109",139840.94
2,"202109",295417.51
1,"202108",240770.65
2,"202108",305476.03
1,"202107",417419.47
2,"202107",414743.42
1,"202106",556588.12
2,"202106",610492.96
1,"202105",520208.19
2,"202105",612512.51
1,"202104",475521.17
2,"202104",614136.86
1,"202103",446736.35
2,"202103",548265.97
1,"202102",454308.3
2,"202102",589197.02
1,"202101",524594.95
2,"202101",731592.06
